iter	Passed	Remaining
0	3	3783
1	6	3432
2	10	3631
3	15	3783
4	18	3628
5	21	3605
6	24	3460
7	27	3466
8	31	3413
9	33	3345
10	36	3308
11	40	3303
12	43	3327
13	47	3325
14	50	3299
15	53	3270
16	57	3308
17	62	3388
18	65	3372
19	69	3388
20	72	3381
21	75	3377
22	80	3403
23	83	3405
24	87	3428
25	91	3440
26	96	3462
27	99	3448
28	103	3450
29	108	3512
30	112	3520
31	117	3539
32	121	3559
33	125	3561
34	128	3552
35	133	3579
36	138	3597
37	141	3582
38	145	3583
39	148	3568
40	151	3548
41	154	3534
42	158	3517
43	161	3505
44	164	3492
45	167	3480
46	170	3460
47	174	3455
48	177	3436
49	180	3428
50	183	3417
51	186	3401
52	189	3390
53	193	3382
54	196	3368
55	199	3354
56	202	3342
57	205	3332
58	208	3325
59	211	3307
60	214	3294
61	216	3280
62	220	3273
63	223	3273
64	227	3271
65	230	3261
66	233	3247
67	236	3241
68	240	3240
69	243	3232
70	246	3223
71	250	3222
72	253	3225
73	257	3220
74	260	3214
75	263	3202
76	267	3202
77	270	3197
78	273	3191
79	277	3195
80	281	3194
81	285	3191
82	288	3189
83	291	3180
84	295	3179
85	298	3174
86	302	3170
87	305	3161
88	308	3155
89	326	3300
90	329	3288
91	332	3284
92	336	3280
93	339	3274
94	343	3274
95	346	3266
96	350	3265
97	354	3260
98	356	3248
99	360	3244
100	363	3235
101	368	3242
102	371	3234
103	374	3224
104	378	3223
105	380	3212
106	384	3211
107	387	3202
108	390	3195
109	393	3187
110	396	3179
111	400	3178
112	404	3171
113	407	3168
114	410	3160
115	413	3152
116	416	3142
117	419	3134
118	422	3127
119	425	3120
120	429	3117
121	431	3106
122	435	3103
123	438	3095
124	441	3092
125	444	3086
126	447	3078
127	450	3067
128	453	3061
129	455	3049
130	458	3040
131	460	3030
132	463	3024
133	466	3015
134	469	3007
135	471	2998
136	474	2989
137	477	2983
138	480	2974
139	482	2966
140	485	2957
141	488	2948
142	490	2939
143	493	2931
144	495	2924
145	498	2915
146	501	2907
147	503	2898
148	506	2892
149	509	2884
150	511	2876
151	514	2868
152	516	2861
153	519	2853
154	522	2846
155	524	2839
156	527	2834
157	530	2826
158	533	2821
159	536	2814
160	539	2812
161	542	2808
162	546	2805
163	558	2849
164	561	2840
165	563	2833
166	566	2826
167	569	2822
168	572	2816
169	575	2809
170	578	2802
171	580	2796
172	583	2789
173	587	2787
174	589	2778
175	592	2774
176	595	2767
177	598	2761
178	600	2754
179	604	2753
180	607	2747
181	609	2741
182	612	2733
183	615	2730
184	618	2725
185	621	2719
186	624	2713
187	627	2708
188	629	2703
189	633	2699
190	635	2692
191	638	2688
192	641	2681
193	644	2677
194	647	2672
195	650	2667
196	652	2661
197	655	2656
198	658	2649
199	661	2645
200	664	2639
201	666	2634
202	669	2627
203	672	2622
204	674	2617
205	677	2611
206	680	2606
207	683	2600
208	686	2596
209	688	2590
210	691	2585
211	693	2578
212	696	2574
213	699	2568
214	701	2562
215	704	2557
216	707	2552
217	710	2546
218	712	2542
219	715	2537
220	718	2532
221	721	2527
222	723	2520
223	726	2515
224	728	2510
225	731	2506
226	734	2501
227	737	2497
228	740	2492
229	742	2487
230	745	2482
231	748	2478
232	751	2473
233	754	2468
234	756	2462
235	759	2458
236	762	2453
237	764	2448
238	767	2443
239	770	2438
240	772	2433
241	775	2428
242	778	2423
243	780	2419
244	783	2415
245	786	2411
246	789	2406
247	792	2401
248	795	2398
249	797	2393
250	800	2389
251	803	2384
252	806	2379
253	808	2375
254	811	2370
255	813	2365
256	816	2360
257	819	2355
258	821	2350
259	825	2348
260	828	2344
261	831	2342
262	834	2338
263	837	2334
264	840	2330
265	842	2326
266	845	2322
267	848	2316
268	851	2312
269	854	2309
270	856	2305
271	860	2302
272	863	2298
273	865	2293
274	868	2289
275	871	2285
276	873	2281
277	876	2276
278	879	2271
279	882	2268
280	884	2264
281	887	2260
282	890	2256
283	893	2253
284	896	2250
285	900	2247
286	903	2243
287	906	2240
288	909	2238
289	912	2235
290	915	2231
291	918	2227
292	922	2225
293	925	2222
294	943	2255
295	946	2251
296	949	2246
297	952	2243
298	954	2238
299	957	2235
300	960	2230
301	963	2226
302	965	2222
303	968	2218
304	971	2213
305	974	2210
306	977	2207
307	981	2204
308	984	2201
309	987	2197
310	989	2192
311	992	2188
312	995	2184
313	997	2180
314	1000	2176
315	1003	2173
316	1006	2169
317	1009	2165
318	1012	2161
319	1015	2158
320	1018	2154
321	1020	2149
322	1023	2145
323	1026	2141
324	1028	2136
325	1031	2132
326	1034	2129
327	1037	2125
328	1039	2121
329	1042	2116
330	1045	2112
331	1047	2107
332	1050	2103
333	1052	2099
334	1055	2095
335	1057	2090
336	1060	2086
337	1063	2083
338	1066	2078
339	1069	2076
340	1072	2073
341	1076	2070
342	1078	2066
343	1081	2062
344	1084	2058
345	1087	2055
346	1091	2053
347	1094	2049
348	1097	2046
349	1099	2042
350	1102	2038
351	1105	2034
352	1107	2030
353	1110	2026
354	1113	2022
355	1115	2018
356	1118	2014
357	1121	2010
358	1124	2007
359	1127	2004
360	1130	2000
361	1133	1997
362	1135	1992
363	1139	1990
364	1141	1986
365	1144	1982
366	1147	1979
367	1150	1975
368	1153	1972
369	1156	1969
370	1158	1964
371	1162	1962
372	1165	1958
373	1168	1955
374	1171	1951
375	1173	1948
376	1177	1945
377	1179	1941
378	1182	1937
379	1185	1934
380	1188	1930
